run.order,std.order,Block,x1,x2,x3,x4,x5,peak,trough,breakdown,final
1,5,1,138,222,60,160,2,NA,NA,NA,NA
2,16,1,228,222,150,200,2.1,NA,NA,NA,NA
3,12,1,228,222,240,200,2,NA,NA,NA,NA
4,14,1,228,222,150,200,1.9,NA,NA,NA,NA
5,7,1,138,222,240,160,2,NA,NA,NA,NA
6,10,1,228,222,240,120,2,NA,NA,NA,NA
7,22,1,228,222,150,160,2,NA,NA,NA,NA
8,18,1,228,312,150,160,1.9,NA,NA,NA,NA
9,23,1,228,222,150,160,2,NA,NA,NA,NA
10,13,1,228,222,150,120,1.9,NA,NA,NA,NA
11,2,1,318,132,150,160,2,NA,NA,NA,NA
12,4,1,318,312,150,160,2,NA,NA,NA,NA
13,17,1,228,132,150,160,1.9,NA,NA,NA,NA
14,24,1,228,222,150,160,2,NA,NA,NA,NA
15,11,1,228,222,60,200,2,NA,NA,NA,NA
16,15,1,228,222,150,120,2.1,NA,NA,NA,NA
17,1,1,138,132,150,160,2,NA,NA,NA,NA
18,19,1,228,132,150,160,2.1,NA,NA,NA,NA
19,6,1,318,222,60,160,2,NA,NA,NA,NA
20,3,1,138,312,150,160,2,NA,NA,NA,NA
21,20,1,228,312,150,160,2.1,NA,NA,NA,NA
22,21,1,228,222,150,160,2,NA,NA,NA,NA
23,9,1,228,222,60,120,2,NA,NA,NA,NA
24,8,1,318,222,240,160,2,NA,NA,NA,NA
1,37,2,228,132,150,120,2,NA,NA,NA,NA
2,26,2,318,222,150,120,2,NA,NA,NA,NA
3,43,2,228,222,60,160,2.1,NA,NA,NA,NA
4,34,2,228,312,60,160,2,NA,NA,NA,NA
5,33,2,228,132,60,160,2,NA,NA,NA,NA
6,48,2,228,222,150,160,2,NA,NA,NA,NA
7,39,2,228,132,150,200,2,NA,NA,NA,NA
8,41,2,228,222,60,160,1.9,NA,NA,NA,NA
9,32,2,318,222,150,160,2.1,NA,NA,NA,NA
10,35,2,228,132,240,160,2,NA,NA,NA,NA
11,40,2,228,312,150,200,2,NA,NA,NA,NA
12,28,2,318,222,150,200,2,NA,NA,NA,NA
13,27,2,138,222,150,200,2,NA,NA,NA,NA
14,46,2,228,222,150,160,2,NA,NA,NA,NA
15,31,2,138,222,150,160,2.1,NA,NA,NA,NA
16,29,2,138,222,150,160,1.9,NA,NA,NA,NA
17,38,2,228,312,150,120,2,NA,NA,NA,NA
18,36,2,228,312,240,160,2,NA,NA,NA,NA
19,42,2,228,222,240,160,1.9,NA,NA,NA,NA
20,47,2,228,222,150,160,2,NA,NA,NA,NA
21,44,2,228,222,240,160,2.1,NA,NA,NA,NA
22,30,2,318,222,150,160,1.9,NA,NA,NA,NA
23,45,2,228,222,150,160,2,NA,NA,NA,NA
24,25,2,138,222,150,120,2,NA,NA,NA,NA
