run.order,std.order,Block,x1,x2,x3,x4,x5,peak,trough,breakdown,final
1,1,1,138,132,150,160,2,7008,2886,4122,3353
6,2,1,318,132,150,160,2,7035,2677,4358,3118
12,3,1,138,312,150,160,2,7009,2785,4224,3445
24,4,1,318,312,150,160,2,6953,2610,4343,3192
18,5,1,138,222,60,160,2,7089,3640,3449,3905
20,6,1,318,222,60,160,2,7076,3129,3947,3454
23,7,1,138,222,240,160,2,7071,2325,4746,3154
9,8,1,318,222,240,160,2,7015,2292,4723,2963
3,9,1,228,222,60,120,2,7720,4666,3054,5080
10,10,1,228,222,240,120,2,7832,3103,4729,3920
5,11,1,228,222,60,200,2,6188,2652,3536,2967
19,12,1,228,222,240,200,2,6142,1847,4295,2484
7,13,1,228,222,150,120,1.9,6970,3629,3341,4229
16,14,1,228,222,150,200,1.9,5472,1996,3476,2463
2,15,1,228,222,150,120,2.1,8997,3932,5065,4624
13,16,1,228,222,150,200,2.1,6862,2324,4538,2836
8,17,1,228,132,150,160,1.9,6179,2618,3561,3011
14,18,1,228,312,150,160,1.9,6043,2554,3489,3118
17,19,1,228,132,150,160,2.1,7939,2935,5004,3445
22,20,1,228,312,150,160,2.1,7858,2923,4935,3557
4,21,1,228,222,150,160,2,7081,2773,4308,3324
21,22,1,228,222,150,160,2,7039,2773,4266,3295
11,23,1,228,222,150,160,2,7053,2761,4292,3286
5,25,2,138,222,150,120,2,7803,3886,3917,4452
17,26,2,318,222,150,120,2,7832,3669,4163,4213
14,27,2,138,222,150,200,2,6224,2249,3975,2789
12,28,2,318,222,150,200,2,6157,2109,4048,2583
4,29,2,138,222,150,160,1.9,6201,2667,3534,3228
18,30,2,318,222,150,160,1.9,6184,2511,3673,2975
20,31,2,138,222,150,160,2.1,7954,3000,4954,3650
13,32,2,318,222,150,160,2.1,7870,2808,5062,3357
21,33,2,228,132,60,160,2,6994,3414,3580,3638
22,34,2,228,312,60,160,2,6907,3391,3516,3747
24,35,2,228,132,240,160,2,7001,2327,4674,2967
3,36,2,228,312,240,160,2,6965,2297,4668,3103
2,37,2,228,132,150,120,2,7695,3501,4194,3892
7,38,2,228,312,150,120,2,7758,3758,4000,4415
23,39,2,228,132,150,200,2,6228,2172,4056,2594
19,40,2,228,312,150,200,2,6024,2139,3885,2653
11,41,2,228,222,60,160,1.9,6193,3269,2924,3522
10,42,2,228,222,240,160,1.9,6141,2174,3967,2840
1,43,2,228,222,60,160,2.1,7934,3610,4324,3950
9,44,2,228,222,240,160,2.1,7999,2498,5501,3280
16,45,2,228,222,150,160,2,7104,2753,4351,3295
6,46,2,228,222,150,160,2,7044,2744,4300,3268
15,47,2,228,222,150,160,2,7048,2702,4346,3270
,48,3,228,222,150,160,2,7080.00,2755.00,4325.00,3298.00
,49,3,228,222,150,160,2,7068.00,2774.00,4294.00,3315.00
,50,3,228,222,150,160,2,7067.00,2753.00,4314.00,3274.00
,51,3,228,222,150,160,2,7091.00,2737.00,4354.00,3294.00
,52,3,228,222,150,160,2,6990.00,2719.00,4271.00,3237.00
,53,3,228,222,150,160,2,7084.00,2696.00,4388.00,3262.00
,54,3,228,222,150,160,2,7127.00,2765.00,4362.00,3298.00
,55,3,228,222,150,160,2,7082.00,2716.00,4366.00,3280.00
,56,3,228,222,150,160,2,7124.00,2752.00,4372.00,3290.00
,57,3,228,222,150,160,2,7071.00,2713.00,4358.00,3258.00
